task_instance_id,task_type,display_name,display_name_with_criticality,criticality,product_line,original_task_id,team,scheduled_start,scheduled_end,duration_minutes,mechanics_required,slack_hours,slack_days,priority_score,shift,global_priority
RW_402,Rework,Product E Rework RW_402,🔴 Product E Rework RW_402 [CRITICAL],CRITICAL,Product E,RW_402,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:45:00,45,1,0.0,0.0,1520.0,1st,1
Product B_1,Production,Product B Task 1,🔴 Product B Task 1 [CRITICAL],CRITICAL,Product B,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,0.0,0.0,44139.0,1st,2
Product A_1,Production,Product A Task 1,🟡 Product A Task 1 [BUFFER],BUFFER,Product A,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,71.5,2.9791666666666665,44159.0,1st,3
Product C_1,Production,Product C Task 1,🟡 Product C Task 1 [BUFFER],BUFFER,Product C,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,71.5,2.9791666666666665,44179.0,1st,4
Product D_1,Production,Product D Task 1,🟡 Product D Task 1 [BUFFER],BUFFER,Product D,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,95.5,3.9791666666666665,44199.0,1st,5
Product E_1,Production,Product E Task 1,🟡 Product E Task 1 [BUFFER],BUFFER,Product E,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,95.5,3.9791666666666665,44239.0,1st,6
Product B_QI_101,Quality Inspection,Product B QI for Task 1,🔴 Product B QI for Task 1 [CRITICAL],CRITICAL,Product B,101,Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,0.0,0.0,44138.0,1st,7
QI_RW_402,Quality Inspection,Product E QI for Task RW_402,🔴 Product E QI for Task RW_402 [CRITICAL],CRITICAL,Product E,QI_RW_402,Quality Team 1,2025-08-22 06:45:00,2025-08-22 07:15:00,30,1,0.0,0.0,1519.0,1st,8
RW_401,Rework,Product E Rework RW_401,🔴 Product E Rework RW_401 [CRITICAL],CRITICAL,Product E,RW_401,Mechanic Team 1,2025-08-22 07:15:00,2025-08-22 08:15:00,60,2,0.0,0.0,1520.0,1st,9
Product B_CC_601,Customer,Product B Task CC_601,🔴 Product B Task CC_601 [CRITICAL],CRITICAL,Product B,CC_601,Customer Team 1,2025-08-22 07:15:00,2025-08-22 08:00:00,45,1,0.0,0.0,44511.0,1st,10
Product B_2,Production,Product B Task 2,🔴 Product B Task 2 [CRITICAL],CRITICAL,Product B,2,Mechanic Team 1,2025-08-22 08:00:00,2025-08-22 09:00:00,60,2,0.0,0.0,44733.0,1st,11
QI_RW_401,Quality Inspection,Product E QI for Task RW_401,🟢 Product E QI for Task RW_401 [FLEXIBLE],FLEXIBLE,Product E,QI_RW_401,Quality Team 1,2025-08-22 08:15:00,2025-08-22 08:45:00,30,1,429.25,17.885416666666668,1519.0,1st,12
Product B_4,Production,Product B Task 4,🔴 Product B Task 4 [CRITICAL],CRITICAL,Product B,4,Mechanic Team 1,2025-08-22 09:00:00,2025-08-22 11:00:00,120,3,0.0,0.0,45021.0,1st,13
Product B_QI_104,Quality Inspection,Product B QI for Task 4,🔴 Product B QI for Task 4 [CRITICAL],CRITICAL,Product B,104,Quality Team 1,2025-08-22 11:00:00,2025-08-22 11:45:00,45,2,0.0,0.0,45020.0,1st,14
